Product_ID,Name,CO2eq_per_Kg,Catagory,Days_in_Pantry,Days_in_Fridge,Days_in_Freezer
P001,Beef,25.75,Meat,0,5,360
P002,Buffalo,78.8,Meat,0,5,360
P003,Mealworms,2.84,Meat,0,5,360
P004,Kangaroo,4.1,Meat,0,5,360
P005,Lamb,25.23,Meat,0,5,360
P006,Pork,5.72,Meat,0,5,360
P007,Bacon,4.03,Meat,0,30,60
P008,Chicken,3.68,Meat,0,2,360
P009,Emu,1.5,Meat,0,5,360
P010,Duck,4.1,Meat,0,5,360
P011,Turkey,4.08,Meat,0,2,360
P012,Rabbit,4.31,Meat,0,2,360
P013,Snails,0.73,Meat,0,5,360
P014,Butter,8.48,Dairy,0,60,270
P015,Cream,5.45,Dairy,0,30,Not Recommended 
P016,Mascarpone,5.7,Dairy,0,180,180
P017,Mozzarella,8.2,Dairy,0,180,180
P018,Ricotta,3.4,Dairy,0,14,Not Recommended 
P019,Stracchino,4.92,Dairy,0,180,180
P020,Asiago,10.24,Dairy,0,180,180
P021,Camembert,7.55,Dairy,0,180,180
P022,Ceddar,11.21,Dairy,0,180,180
P023,Cheese,8.93,Dairy,0,180,180
P024,Emmental,8.2,Dairy,0,180,180
P025,Goat Cheese,8.35,Dairy,0,180,180
P026,Grana Padano,15.34,Dairy,0,180,180
P027,Parmigiano,12.54,Dairy,0,180,180
P028,Pecorino,17.15,Dairy,0,180,180
P029,Eggs,3.2,Dairy,0,35,Not Recommended 
P030,Honey,1.74,Dairy,730,730,730
P031,Milk Buffalo,3.57,Dairy,0,7,7
P032,Milk Cow,1.31,Dairy,0,7,7
P033,Milk Goat,1.44,Dairy,0,7,7
P034,Yogurt,2.85,Dairy,0,14,60
P035,Beer,0.69,Processed Agricultural Products,180,240,Not Recommended 
P036,Chocolate,1.53,Processed Agricultural Products,730,1825,1825
P037,Cookies,1.39,Processed Agricultural Products,90,180,360
P038,Water,0.49,Processed Agricultural Products,1825,1825,1825
P039,Bread,0.7,Processed Agricultural Products,5,90,120
P040,Cornflakes,2.64,Processed Agricultural Products,90,90,90
P041,Coffee,5.13,Processed Agricultural Products,365,365,365
P042,Crackers,0.93,Processed Agricultural Products,240,240,240
P043,Crispbread,1.35,Processed Agricultural Products,5,90,90
P044,Ketchup,1.46,Processed Agricultural Products,180,365,365
P045,Mayonnaise,2.04,Processed Agricultural Products,180,365,365
P046,Tempeh,1.1,Processed Agricultural Products,5,90,120
P047,Pasta,3.15,Processed Agricultural Products,730,730,730
P048,Raspberries,1.18,Processed Agricultural Products,0,3,30
P049,Juice Apple,2.84,Processed Agricultural Products,7,60,365
P050,Juice Blueberry,3,Processed Agricultural Products,7,60,365
P051,Juice Cranberry,2.88,Processed Agricultural Products,7,60,365
P052,Juice Fig,3.2,Processed Agricultural Products,7,60,365
P053,Juice Kiwi,2.84,Processed Agricultural Products,7,60,365
P054,Juice Mango,2.96,Processed Agricultural Products,7,60,365
P055,Juice Pineapple,2.78,Processed Agricultural Products,7,60,365
P056,Juice Strawberry,2.68,Processed Agricultural Products,7,60,365
P057,Juice Orange,0.46,Processed Agricultural Products,7,60,365
P058,Juice Pear,0.49,Processed Agricultural Products,7,60,365
P059,Flour,1.96,Processed Agricultural Products,180,180,730
P060,Durum,0.47,Processed Agricultural Products,180,180,730
P061,Oat Meal,0.87,Processed Agricultural Products,90,90,90
P062,Flour ,0.52,Processed Agricultural Products,180,180,730
P063,Ice Cream,1.02,Processed Agricultural Products,0,180,180
P064,Vanilla Extract,4.3,Processed Agricultural Products,180,180,730
P065,Soy Meal,0.62,Processed Agricultural Products,90,90,90
P066,Beans,0.11,Processed Agricultural Products,730,730,730
P067,Green Beans ,1.45,Processed Agricultural Products,730,730,730
P068,Margarine,1.39,Processed Agricultural Products,0,180,360
P069,Almond Paste,2.98,Processed Agricultural Products,365,365,365
P070,Hazelnut,2.71,Processed Agricultural Products,365,365,365
P071,Peanut,1.15,Processed Agricultural Products,365,365,365
P072,Oil Olive,3.27,Processed Agricultural Products,730,730,730
P073,Oil Palm,2.43,Processed Agricultural Products,730,730,730
P074,Oil Peanut,2.9,Processed Agricultural Products,730,730,730
P075,Oil Rapeseed,1.79,Processed Agricultural Products,730,730,730
P076,Oil Soybean,1.79,Processed Agricultural Products,730,730,730
P077,Oil Sunflower,0.98,Processed Agricultural Products,730,730,730
P078,Pesto,2.71,Processed Agricultural Products,545,180,30
P079,Sugar,0.94,Processed Agricultural Products,730,730,730
P080,Croissant,2.14,Processed Agricultural Products,5,90,120
P081,Tomato Chopped,1.47,Processed Agricultural Products,730,730,730
P082,Tomato Peeled,1.3,Processed Agricultural Products,730,730,730
P083,Tomato Puree,1.03,Processed Agricultural Products,730,730,730
P084,Tomato & Basil,1.14,Processed Agricultural Products,730,730,730
P085,Tomato Arrabbiata,1.24,Processed Agricultural Products,730,730,730
P086,Carrots Canned,1.6,Processed Agricultural Products,730,730,730
P087,Corn Canned,1.36,Processed Agricultural Products,730,730,730
P088,Carrots,0.27,Processed Agricultural Products,0,7,Not Recommended 
P089,Zucchini,1.35,Processed Agricultural Products,0,7,Not Recommended 
P090,Soy Cream,1.62,Processed Agricultural Products,365,1825,1825
P091,Milk Almond ,0.42,Processed Agricultural Products,365,1825,1825
P092,Milk Coconut,0.41,Processed Agricultural Products,365,1825,1825
P093,Milk Rice,0.66,Processed Agricultural Products,365,1825,1825
P094,Milk Soy,0.78,Processed Agricultural Products,365,1825,1825
P095,Quorne,2.5,Processed Agricultural Products,1095,1095,1095
P096,Soy Burger,1.48,Processed Agricultural Products,0,5,360
P097,Tofu,2.27,Processed Agricultural Products,0,7,150
P098,Soy Yogurt,1.36,Processed Agricultural Products,0,14,60
P099,Wine,0.87,Processed Agricultural Products,1095,1095,1095
P100,Yeast,0.82,Processed Agricultural Products,730,730,Not Recommended 
